CreateTime,Des,Emotions
1646133387,0,消极
1646133394,0,消极
1646133399,0,中性
1646133414,1,积极
1646135075,0,中性
1646135424,0,中性
1646135447,0,中性
1646135634,1,中性
1646135844,0,中性
1646136098,1,积极
1646136103,1,消极
1646136107,0,中性
1646136111,0,消极
1646136115,0,消极
1646136118,1,中性
1646136122,1,中性
1646136126,0,中性
1646136133,1,中性
1646136149,0,消极
1646136150,1,消极
1646136151,0,积极
1646136154,1,消极
1646136155,0,积极
1646136161,1,积极
1646136181,0,积极
1646136183,0,积极
1646136192,0,积极
1646136194,0,中性
1646136196,0,消极
1646136197,0,消极
1646136285,1,中性
1646136289,1,积极
1646136348,0,积极
1646136427,1,积极
1646148272,1,积极
1646148543,0,积极
1646150114,0,消极
1646150116,0,消极
1646150118,0,积极
1646150178,1,积极
1646150872,1,中性
1646150880,0,积极
1646151325,1,积极
1646151389,0,积极
1646151395,0,消极
1646151401,0,中性
1646151409,0,中性
1646151411,0,消极
1646151417,0,中性
1646151431,0,中性
1646151436,0,消极
1646151567,1,中性
1646151583,0,中性
1646151610,0,消极
1646151614,0,消极
1646151727,1,积极
1646151805,0,积极
1646152419,0,中性
1646152430,0,中性
1646152431,1,积极
1646152436,1,积极
1646152438,0,中性
1646152447,0,消极
1646152452,0,中性
1646152456,0,中性
1646152470,0,积极
1646152476,0,积极
1646152622,1,积极
1646153212,0,积极
1646153327,1,消极
1646153333,0,积极
1646153338,1,积极
1646153347,0,积极
1646153348,0,消极
1646153350,0,积极
1646153365,0,积极
1646153369,0,消极
1646153439,0,中性
1646177174,0,中性
1646177434,1,积极
1646178180,0,积极
1646178183,0,积极
1646178209,0,消极
1646178212,0,消极
1646178585,1,中性
1646178659,1,中性
1646178682,0,积极
1646178713,0,中性
1646178782,1,消极
1646178786,1,中性
1646178791,0,中性
1646178809,0,中性
1646178841,1,中性
1646178957,0,中性
1646179163,1,积极
1646180005,0,中性
1646180694,1,消极
1646180710,0,中性
1646180721,0,积极
1646180751,1,中性
1646181672,0,中性
1646181697,1,积极
1646182103,0,中性
1646182250,1,中性
1646182276,0,积极
1646182320,1,中性
1646182773,1,积极
1646182784,0,积极
1646182809,0,中性
1646182820,0,积极
1646182890,1,积极
1646182900,1,积极
1646183037,0,积极
1646183102,1,积极
1646183105,1,积极
1646183112,0,积极
1646183115,0,积极
1646183117,0,积极
1646185912,1,中性
1646185916,0,中性
1646185936,1,中性
1646185940,0,中性
1646186594,1,积极
1646186606,0,消极
1646186611,0,积极
1646186613,1,积极
1646188360,1,积极
1646188365,0,中性
1646188371,0,消极
1646188384,1,中性
1646188390,1,中性
1646188393,0,积极
1646188395,0,中性
1646188405,1,中性
1646188408,0,中性
1646190807,1,消极
1646190812,0,积极
1646193646,0,中性
1646193653,1,积极
1646193659,1,中性
1646193662,0,积极
1646193666,0,消极
1646193668,1,中性
1646193675,0,中性
1646195024,1,中性
1646195055,0,积极
1646195082,1,消极
1646195098,0,中性
1646196780,0,积极
1646199558,1,中性
1646199659,0,中性
1646199662,0,中性
1646199702,0,积极
1646199745,1,积极
1646201920,0,消极
1646201927,0,积极
1646202144,1,积极
1646202617,1,积极
1646202627,1,消极
1646202634,0,中性
1646202635,1,中性
1646202638,0,积极
1646202658,1,积极
1646202685,0,积极
1646202690,0,积极
1646202937,1,积极
1646203014,0,积极
1646203021,0,积极
1646203416,1,积极
1646204573,0,积极
1646204681,1,消极
1646204923,0,积极
1646204928,0,中性
1646205837,1,消极
1646205921,0,积极
1646206138,0,积极
1646207448,1,中性
1646207455,0,中性
1646207462,0,中性
1646207479,1,消极
1646207482,1,中性
1646207485,0,中性
1646207491,0,中性
1646207497,0,积极
1646207501,0,中性
1646207507,1,中性
1646207514,0,中性
1646207519,0,中性
1646207528,0,积极
1646207772,1,积极
1646207776,0,积极
1646207783,0,中性
1646208018,1,积极
1646208024,0,积极
1646208029,0,积极
1646208086,1,积极
1646208105,0,积极
1646208219,1,中性
1646208221,1,消极
1646208348,1,中性
1646208501,0,中性
1646208521,0,中性
1646208529,0,中性
1646208667,1,消极
1646208673,0,中性
1646208674,1,中性
1646208687,1,消极
1646208690,1,中性
1646208695,0,中性
1646208698,0,积极
1646208711,0,中性
1646208746,1,中性
1646208748,1,中性
1646208751,0,积极
1646208779,0,积极
1646208891,1,积极
1646208895,0,中性
1646208904,0,积极
1646208914,0,中性
1646208921,1,中性
1646208927,1,积极
1646208934,0,积极
1646209070,1,中性
1646209075,1,中性
1646209079,1,中性
1646209582,0,中性
1646209590,0,中性
1646210045,1,积极
1646210137,0,中性
1646210139,0,积极
1646210659,1,积极
1646210666,0,积极
1646210669,0,积极
1646210675,1,积极
1646210681,0,积极
1646210687,0,积极
1646210745,1,消极
1646211073,1,中性
1646211085,1,中性
1646211496,0,中性
1646211504,0,消极
1646212489,0,积极
1646212500,0,积极
1646213660,1,积极
1646213662,1,积极
1646215173,0,中性
1646215186,0,消极
1646215188,0,中性
1646215195,0,中性
1646215200,1,积极
1646215207,0,消极
1646215213,0,中性
1646215236,1,消极
1646215239,1,中性
1646215247,0,中性
1646215250,0,消极
1646215375,0,积极
1646215649,1,消极
1646215663,0,中性
1646215677,0,中性
1646215684,0,中性
1646215690,0,积极
1646215736,1,积极
1646215746,1,中性
1646215754,0,中性
1646215758,0,中性
1646215787,0,积极
1646216784,0,积极
1646216893,1,中性
1646216895,1,中性
1646216907,1,中性
1646216913,0,积极
1646216916,0,消极
1646216942,0,积极
1646216949,0,中性
1646216962,0,积极
1646217305,0,积极
1646217307,0,积极
1646220143,1,积极
1646220340,1,积极
1646220369,0,中性
1646220378,0,中性
1646220379,1,积极
1646220387,0,中性
1646220389,0,积极
1646220394,0,中性
1646220396,0,消极
1646220407,1,中性
1646220510,0,积极
1646220513,0,中性
1646220532,0,中性
1646220543,1,中性
1646220549,1,中性
1646220567,0,积极
1646220572,0,中性
1646220699,0,中性
1646220709,0,中性
1646220716,1,积极
1646220851,1,积极
1646220865,0,消极
1646220868,1,中性
1646220888,0,积极
1646220892,0,积极
1646220895,0,积极
1646221182,1,中性
1646221628,0,消极
1646221630,0,积极
1646221634,0,积极
1646221640,0,消极
1646221646,0,中性
1646221659,0,中性
1646221889,0,积极
1646221893,0,积极
1646221901,1,积极
1646221915,0,积极
1646222109,1,中性
1646222113,1,积极
1646222124,0,积极
1646222155,1,中性
1646222164,1,积极
1646222171,0,积极
1646222173,0,积极
1646222174,0,积极
1646222321,1,积极
1646223216,1,积极
1646223222,0,积极
1646223223,0,中性
1646223232,1,积极
1646223251,0,积极
1646223267,1,积极
1646223572,0,积极
1646223588,1,积极
1646223597,0,积极
1646223678,1,积极
1646223689,0,中性
1646223693,0,积极
1646223703,1,积极
1646223705,1,积极
1646223708,0,积极
1646223713,1,中性
1646236801,0,消极
1646236829,0,积极
1646236850,0,积极
1646237042,0,积极
1646237080,1,中性
1646237164,0,消极
1646237193,0,中性
1646239290,0,中性
1646239409,1,中性
1646239418,0,积极
1646239685,0,积极
1646239817,0,积极
1646239869,1,积极
1646240388,0,积极
1646240399,0,积极
1646240447,0,积极
1646240476,1,中性
1646240519,0,中性
1646240521,0,积极
1646240526,0,中性
1646240535,0,中性
1646240582,1,中性
1646240594,0,积极
1646240601,0,积极
1646240605,0,积极
1646240616,0,积极
1646240622,0,中性
1646240751,1,消极
1646240866,1,积极
1646240869,1,消极
1646240909,0,积极
1646240914,0,积极
1646240918,0,积极
1646263373,0,积极
1646263867,1,中性
1646264018,1,中性
1646264028,0,积极
1646264060,0,消极
1646264116,0,中性
1646264122,0,中性
1646264480,1,中性
1646264861,0,中性
1646264978,1,积极
1646264995,0,积极
1646264999,0,中性
1646265768,0,积极
1646265789,0,积极
1646265799,0,消极
1646266080,1,积极
1646268001,0,积极
1646268028,1,消极
1646268074,0,消极
1646268083,1,中性
1646268109,0,中性
1646268117,0,积极
1646268127,0,中性
1646268302,0,消极
1646268315,1,中性
1646268326,0,中性
1646268330,0,中性
1646268340,0,中性
1646268354,1,中性
1646268360,0,中性
1646268366,0,积极
1646268368,0,中性
1646268381,1,中性
1646268384,1,中性
1646268397,0,中性
1646268415,1,中性
1646268441,0,中性
1646268471,0,中性
1646268478,1,中性
1646268542,0,中性
1646268550,1,中性
1646268598,0,积极
1646268610,0,中性
1646268617,1,中性
1646268620,0,积极
1646268643,0,消极
1646268651,1,消极
1646268664,1,中性
1646268667,1,中性
1646268689,0,积极
1646268691,0,积极
1646269178,1,中性
1646269180,1,积极
1646269184,0,积极
1646269188,1,中性
1646269198,0,积极
1646269204,1,积极
1646269208,0,积极
1646269210,1,中性
1646269215,0,积极
1646269218,1,中性
1646269235,1,中性
1646269238,0,积极
1646269241,0,中性
1646269246,1,中性
1646269247,1,消极
1646269251,0,中性
1646269258,1,中性
1646269260,0,中性
1646269263,0,积极
1646269269,0,消极
1646269276,0,中性
1646269282,0,消极
1646269283,1,积极
1646269316,1,中性
1646269321,0,积极
1646269325,0,中性
1646269848,0,积极
1646270296,1,消极
1646270303,0,消极
1646270320,0,消极
1646270502,0,积极
1646270556,1,中性
1646270580,0,积极
1646270592,0,中性
1646270605,1,中性
1646270627,0,积极
1646270632,0,积极
1646270675,1,中性
1646270698,1,中性
1646270704,0,积极
1646271104,0,积极
1646271109,0,中性
1646271115,0,积极
1646271252,1,积极
1646271277,0,中性
1646271284,0,中性
1646271294,0,中性
1646271300,0,中性
1646271410,1,积极
1646272175,0,中性
1646272181,0,中性
1646272186,0,中性
1646272239,1,中性
1646272259,1,中性
1646272330,0,中性
1646272567,1,中性
1646272649,0,积极
1646272656,0,中性
1646272657,1,中性
